freq_GHz,eps_real,eps_imag,mu_real,mu_imag
1.0,1.0,1042556007.4077575,1.0,0.0
2.0,1.0,521278003.70387876,1.0,0.0
3.0,1.0,347518669.1359193,1.0,0.0
4.0,1.0,260639001.85193938,1.0,0.0
5.0,1.0,208511201.48155153,1.0,0.0
6.0,1.0,173759334.56795964,1.0,0.0
7.0,1.0,148936572.48682255,1.0,0.0
8.0,1.0,130319500.92596969,1.0,0.0
9.0,1.0,115839556.37863971,1.0,0.0
10.0,1.0,104255600.74077576,1.0,0.0
